---TranskribusBaseLineEvaluationScheme--- 

Evaluation performed on 2019.04.24 at 06:45:12 
Evaluation performed for GT truths.lst
Evaluation performed for HYPO predicts.lst
Number of pages: 142

Loading protocol: 
   Everything loaded without errors.

142 out of 142 GT-HYPO pairs loaded without errors and used for evaluation.

Number of groundtruth lines: 3828
Number of hypothesis lines: 4365

Pagewise evaluation :
#P value, #R value, #F_1 value, #TruthFileName, #HypoFileName
    0.8764,     0.9454,     0.9096, truths/00000003-2.jpg.txt, predicts/00000003-2.txt
    0.8413,     0.9062,     0.8726, truths/00000015.jpg.txt, predicts/00000015.txt
    0.8348,     0.9466,     0.8872, truths/00000002-2.jpg.txt, predicts/00000002-2.txt
    0.2849,     0.9248,     0.4356, truths/00000065.jpg.txt, predicts/00000065.txt
    0.7304,     0.8778,     0.7973, truths/00000031.jpg.txt, predicts/00000031.txt
    0.9570,     0.9151,     0.9356, truths/00000014.jpg.txt, predicts/00000014.txt
    0.9528,     0.9844,     0.9683, truths/00000188.jpg.txt, predicts/00000188.txt
    0.9594,     0.9973,     0.9780, truths/00000139.jpg.txt, predicts/00000139.txt
    0.3088,     0.8497,     0.4530, truths/00000013.jpg.txt, predicts/00000013.txt
    0.8687,     0.9534,     0.9091, truths/00000025-1.jpg.txt, predicts/00000025-1.txt
    0.6277,     0.9970,     0.7704, truths/00000177.jpg.txt, predicts/00000177.txt
    1.0000,     0.9994,     0.9997, truths/00000070.jpg.txt, predicts/00000070.txt
    0.9586,     0.9747,     0.9666, truths/00000039.jpg.txt, predicts/00000039.txt
    0.7662,     0.9377,     0.8433, truths/00000005-3.jpg.txt, predicts/00000005-3.txt
    0.7091,     0.7420,     0.7252, truths/00000073.jpg.txt, predicts/00000073.txt
    0.6855,     0.8650,     0.7649, truths/00000010-2.jpg.txt, predicts/00000010-2.txt
    0.9496,     0.9926,     0.9706, truths/00000191.jpg.txt, predicts/00000191.txt
    0.8454,     0.9763,     0.9061, truths/00000041-3.jpg.txt, predicts/00000041-3.txt
    0.8613,     0.9935,     0.9227, truths/00000069.jpg.txt, predicts/00000069.txt
    0.7997,     0.8850,     0.8402, truths/00000040-4.jpg.txt, predicts/00000040-4.txt
    0.7104,     0.8569,     0.7768, truths/00000106-1.jpg.txt, predicts/00000106-1.txt
    0.8419,     0.9206,     0.8795, truths/00000050.jpg.txt, predicts/00000050.txt
    0.9991,     0.9966,     0.9979, truths/00000140.jpg.txt, predicts/00000140.txt
    0.9280,     0.9613,     0.9443, truths/00000090.jpg.txt, predicts/00000090.txt
    0.8606,     0.9150,     0.8870, truths/00000018.jpg.txt, predicts/00000018.txt
    0.8558,     0.9496,     0.9002, truths/00000016-2.jpg.txt, predicts/00000016-2.txt
    0.8372,     0.8180,     0.8275, truths/00000001-4.jpg.txt, predicts/00000001-4.txt
    0.9876,     0.9521,     0.9695, truths/00000130.jpg.txt, predicts/00000130.txt
    0.6885,     0.7890,     0.7353, truths/00000019-2.jpg.txt, predicts/00000019-2.txt
    0.7228,     0.9946,     0.8372, truths/00000149.jpg.txt, predicts/00000149.txt
    0.9619,     0.9524,     0.9571, truths/00000171.jpg.txt, predicts/00000171.txt
    0.8474,     0.9927,     0.9143, truths/00000163.jpg.txt, predicts/00000163.txt
    0.9341,     0.9835,     0.9581, truths/00000118.jpg.txt, predicts/00000118.txt
    0.9174,     0.5815,     0.7118, truths/00000012-3.jpg.txt, predicts/00000012-3.txt
    0.1258,     0.6531,     0.2110, truths/00000084.jpg.txt, predicts/00000084.txt
    0.6954,     0.7301,     0.7123, truths/00000081.jpg.txt, predicts/00000081.txt
    0.7064,     0.9629,     0.8150, truths/00000180.jpg.txt, predicts/00000180.txt
    0.8465,     0.9321,     0.8872, truths/00000062.jpg.txt, predicts/00000062.txt
    0.5820,     0.8530,     0.6919, truths/00000011-1.jpg.txt, predicts/00000011-1.txt
    0.9330,     0.8116,     0.8681, truths/00000001.jpg.txt, predicts/00000001.txt
    0.8858,     0.8939,     0.8898, truths/00000028-3.jpg.txt, predicts/00000028-3.txt
    0.9252,     0.9566,     0.9406, truths/00000106.jpg.txt, predicts/00000106.txt
    0.3843,     0.8028,     0.5198, truths/00000041.jpg.txt, predicts/00000041.txt
    0.8969,     0.6601,     0.7605, truths/00000029-1.jpg.txt, predicts/00000029-1.txt
    0.7934,     0.8661,     0.8282, truths/00000053.jpg.txt, predicts/00000053.txt
    0.7933,     0.9061,     0.8460, truths/00000051.jpg.txt, predicts/00000051.txt
    0.8512,     0.7707,     0.8089, truths/00000053-1.jpg.txt, predicts/00000053-1.txt
    0.9678,     0.9795,     0.9736, truths/00000012-2.jpg.txt, predicts/00000012-2.txt
    0.9352,     0.9833,     0.9586, truths/00000107.jpg.txt, predicts/00000107.txt
    0.9861,     0.9902,     0.9881, truths/00000153.jpg.txt, predicts/00000153.txt
    0.7792,     0.9210,     0.8442, truths/00000161.jpg.txt, predicts/00000161.txt
    0.8409,     0.7483,     0.7919, truths/00000016-1.jpg.txt, predicts/00000016-1.txt
    0.6124,     0.6897,     0.6487, truths/00000084-1.jpg.txt, predicts/00000084-1.txt
    0.8779,     0.9412,     0.9085, truths/00000001-12.jpg.txt, predicts/00000001-12.txt
    0.9500,     0.9603,     0.9551, truths/00000005-4.jpg.txt, predicts/00000005-4.txt
    0.8128,     0.9104,     0.8588, truths/00000102.jpg.txt, predicts/00000102.txt
    0.6504,     0.7137,     0.6806, truths/00000014-2.jpg.txt, predicts/00000014-2.txt
    0.9638,     0.9997,     0.9815, truths/00000020-1.jpg.txt, predicts/00000020-1.txt
    0.7140,     0.9407,     0.8118, truths/00000009-1.jpg.txt, predicts/00000009-1.txt
    0.8309,     0.8556,     0.8431, truths/00000002-10.jpg.txt, predicts/00000002-10.txt
    0.9425,     0.9608,     0.9515, truths/00000005-1.jpg.txt, predicts/00000005-1.txt
    0.9372,     0.9149,     0.9259, truths/00000002-1.jpg.txt, predicts/00000002-1.txt
    0.9684,     0.7714,     0.8588, truths/00000007.jpg.txt, predicts/00000007.txt
    0.9398,     0.8507,     0.8931, truths/00000003.jpg.txt, predicts/00000003.txt
    0.6284,     0.9848,     0.7673, truths/00000009.jpg.txt, predicts/00000009.txt
    0.8565,     0.9693,     0.9094, truths/00000027-1.jpg.txt, predicts/00000027-1.txt
    0.8172,     0.8886,     0.8514, truths/00000029.jpg.txt, predicts/00000029.txt
    0.8040,     0.9176,     0.8570, truths/00000001-10.jpg.txt, predicts/00000001-10.txt
    0.9916,     0.9946,     0.9931, truths/00000104-1.jpg.txt, predicts/00000104-1.txt
    0.8937,     0.8760,     0.8848, truths/00000013-2.jpg.txt, predicts/00000013-2.txt
    0.8959,     0.9322,     0.9137, truths/00000137.jpg.txt, predicts/00000137.txt
    0.9330,     0.9612,     0.9469, truths/00000060.jpg.txt, predicts/00000060.txt
    0.9837,     0.9176,     0.9495, truths/00000132.jpg.txt, predicts/00000132.txt
    0.8954,     0.9510,     0.9224, truths/00000127.jpg.txt, predicts/00000127.txt
